content,svm_sentiment,bayes_sentiment,df_scores,df_score_senti
公司 买 了 台 小米 笔记本 使用 不到 时间 蓝屏 台 经常性 蓝屏 台 蓝屏 起来 没完没了 整个 不用 工作 了 售后服务 倒 是 爽快 换 主板 重装系统 操作 如 虎 拿 回来 继续 蓝屏 耽误 工作 谨慎 购买 吧 ,消极,消极,-0.098,消极
运行 速度 高 屏幕 效果 屏幕 大 满意 散热 性能 散热 快 外形 外观 颜色 好 外观 喜欢 轻薄 程度 轻 薄 特色 起来 流畅 速度 快 音质 好 喜欢 小米 东西 价格合理 东西 实用 满意 ,消极,积极,42.829,积极
外观 漂亮 充电器 讨人喜欢 笨重 了 散热 注意 运行 拿 回来 不到 貌似 卡 了 难受 人 总体 满意 ,积极,积极,1.467,积极
买来 玩 小游戏 价位 买 红 米 笔记本 感觉 挺不错 具体 使用 效果 一段时间 吧 ,积极,积极,8.247,积极
哈哈哈 期待已久 入手 首选 京东 售后 无忧 ,消极,积极,12.585,积极
旧 笔记本 显卡 坏 了 找 了 笔记本 评价 不错 外观 小巧 轻便 运行 流畅 没什么 问题 ,积极,积极,16.41,积极
是 千挑万 选 购买 小米 笔记本电脑 是 货比三家 费尽心思 身边 好友 建议 内心 想法 购买 了 米 物流 是 快 到 手里 立马 拆开 了 映入眼帘 银色 金属 外表 精美 了 性能 不错 送 了 正版 office 是 精致 电脑 小伙伴 们 值得 入手 欧 ,积极,积极,35.46,积极
外形 外观 外观 不错 大气 内存 太小 就分 了 区用 起来 方便 感觉 不值 价格 屏幕 效果 画面感 一般 没有 突出 地方 轻薄 程度 很薄 ,积极,积极,17.263,积极
性价比 超级 高 笔记本电脑 运行 速度 是 不错 外形 颜色 喜欢 流畅 背 身上 觉得 办公 很 不错 了 买 了 笔记本 想要 买 入手 值得 入手 不错 呢 新品 确实 ,积极,积极,29.593,积极
提示 开机 时候 边上 要 有 wifi 开机 设置 才能 流畅 完成 外包装 简陋 了 防震 电脑 感觉 行 后续 久 了 吧 ,消极,消极,1.782,积极
特色 来到 开机 ,消极,积极,1.384,积极
运行 速度 快 外形 外观 商务 轻薄 程度 薄 ,积极,积极,7.878,积极
东西 不错 超过 想象 玩游戏 好 是 散热 不错 魔兽 世界 开 极效 流畅 ,积极,积极,10.471,积极
基 没 有 认 评 价 过 知 道 浪 费 了 少 积 分 听说 们 评 价 超 过 个 字 可 送 京 豆 个 福 利 心 不错 很 赞 很 好 会 妥 妥 每 条 评 价 发 货 速 度 很 快 东 包 装 得 很 好 没 有 损坏 价 格 实 体 店 实 惠 很 物 美 价 廉 很 好 卖家 东 很 好 良 心 商 家 值 得 赖 谢 谢 商 家 很 方 实 惠 次 会 来 光 顾 ,消极,积极,51.713,积极
京东 商城 购买 产品 方便 单 送到 了 试用 了 感觉 行 开机 速度 显示器 效果 好 画面 很 细腻 不怎么 玩游戏 主要 做 个 图 看 个 视频 开 应用软件 基本上 没什么 等待 作为 处理器 应该 有 提高 测试 游戏 试试 有没有 网友 反应 发烧 现象 追评 ,积极,积极,19.017,积极
屏幕 效果 很 清晰 散热 性能 好 有点像 游戏 呼呼 外形 外观 酷 运行 速度 好 轻薄 程度 很薄 ,积极,积极,16.113,积极
快 递给 力 号 单 到 了 没用过 轻薄 感觉 响应速度 不够 快 没 用来 办公 游戏 试 了 补充 ,积极,积极,4.274,积极
运行 速度 软件 游戏 加载 屏幕 效果 是 雾 面 屏 好 了 hellip hellip 镜面 屏 反光 很烦 显示 效果 杠杠 散热 性能 键盘 区域 屏幕 发热 很 严重 风扇 声音 基本上 听 不到 外形 外观 模具 了 没什么 好 说 哈哈 大气 轻薄 程度 有点 重 吧 轻 薄 特色 整体 很 满意 键盘 手感 好 打字 噪音 不大 指纹 很 灵敏 开机 很 不错 产品 啦 ,消极,积极,37.019,积极
很 不错 卡顿 玩游戏 风扇 声音 有点 大 包装 挤压 还好 东西 没坏 ,积极,积极,4.995,积极
散热 性能 了 无 发热 现象 不错 外形 外观 时尚 屏幕 效果 细腻 色彩 好 运行 速度 没有 运行 过 大 游戏 评价 应该 没 问题 ,积极,积极,17.671,积极
小米 电脑 儿子 喜欢 说 方面 挺好 发货 速度 快 收到 电脑 有 想买 不要 犹豫 下单 吧 ,积极,积极,6.937,积极
快 触摸屏 不灵 了 hellip F12 好 了 ,消极,积极,6.253,积极
下单 收到 货 京东 物流 力 买 小孩 学习 使用 金属 超薄 机身 高大 i5 速 理器 G 内存 固态 硬盘 独显 配置 性价比 高 值得 推荐 ,积极,积极,22.939,积极
运行 速度 赞 小米 一如既往 给力 性价比 不错 屏幕 效果 说 人 瞎说 了 使用 作 评论 吧 价位 了 散热 性能 散热 测试 办公 遇到 过 发热 现象 外形 外观 很 美 小米 产品 良心 了 支持 轻薄 程度 很 薄 很 轻 很 喜爱 是用 了 来 评价 过 说 值得 购买 ,消极,积极,34.326,积极
运行 速度 安装 软件 UG 流畅 屏幕 效果 显示 很 细腻 散热 性能 基本 没 感到 热 打游戏 外形 外观 外观 精致 轻薄 程度 薄 特色 有点 快 了 是 京东 下单 醒来 派送 了 是 买来 不到 小时 出现 问题 客服 让我拿 去 售后 投屏 投 不了 电脑 搜 不到 手机 手机 搜 不到 电脑 客服 让我拿 去 售后 大写 服 买 新 电脑 唉 试问 买 新 电脑 出 问题 让 拿 去 网点 检测 您 愿意 吗 买 小米 东西 近 了 遇到 情况 彻底改变 了 小米 看法 想买 慎重 说 黑 小米 看 图 ,消极,消极,14.581,积极
运行 速度 运行 速度 安装 了 个 显示 秒左右 是 屏幕 效果 屏幕 看着 舒适 散热 性能 基本 办公 编程 是 设计 换 个 游戏 建议 游戏 LOL 玩起来 没 问题 有点 烫 没 玩游戏 了 决定 弃 坑 了 外形 外观 外观 看着 不错 喜欢 类型 轻薄 程度 轻薄 啦 买 游戏 了 特色 嘛 一段时间 吧 ,消极,积极,21.523,积极
运行 网页 风扇 声 超级 大 ,消极,积极,0.892,积极
外形 外观 大方 单手 开合 屏幕 效果 屏幕 好 色域 轻薄 程度 挺薄 应该 不错 特色 希望 风扇 看着 确实 香 总 小米 牛 批 ,积极,积极,20.911,积极
笔记本 小巧 方便 携带 玩游戏 运行 速度 比较满意 期待 表现 ,积极,积极,13.408,积极
运行 速度 cpu 运行 速度 完全 满足 办公 需求 屏幕 效果 屏幕 成像 很 不错 清晰 细腻 散热 性能 散热 不错 风扇散热 很 外形 外观 外观 不错 很 简洁 时尚 拿 着 手感 不错 轻薄 程度 厚度 中规中矩 要 考虑 散热 不错 ,消极,积极,43.176,积极
运行 速度 很 流畅 机械 硬盘 快 了 屏幕 效果 p 老古董 屏 清楚 了 软件 界面 发虚 可能 pc 软件 不会 像 手机 勤快 适配 散热 性能 玩游戏 画画 cad 看看 视频 网页 温温的 能 接受 外形 外观 质感 好 手感 不错 小米 提 个 建议 a 面 做 个 设计 好 轻薄 程度 比不上 微软 标杆 surface 轻薄 胜 配置 高 性能 强 有 舍 有 得 吧 特色 接口 丰富 充电 快 喇叭 不错 屏幕 是 玻璃 覆盖 很漂亮 ,消极,积极,44.638,积极
激活 才能 使用 电脑 不能 看 电脑 起来 激活 了 接受 退货 需要 看运气 电脑 好不好 电脑 没有 网线 接口 无线网络 时候 网线 没 可能 了 设计 实用 了 赠送 Win10 系统 激活 登陆 动不动 提示 登录 方便 ,消极,消极,16.358,积极
外形 外观 外观 精致 运行 速度 挺快 散热 性能 游戏 时候 风扇 声音 较大 理解 ,积极,积极,10.166,积极
此 用户 未填写 评价 内容 ,消极,积极,3.911,积极
运行 速度 快 屏幕 效果 好 散热 性能 好 外形 外观 好 特色 好 轻薄 程度 好 ,积极,积极,22.639,积极
性价比 超好 问题 大 是 程序 猿 没有 跑 微 服务项目 知道 到时候 会 不会 卡顿 使用 情况 不错 优点 性价比 高 g 内存 i7 处理器 固态 不到 缺点 windows 毛病 速度慢 相比 mac 散热 一般 还有 时 触控板 使用 了 了 有点 问题 吐 是 散热 问题 还好 急人 是 充电 充 不充 了 数据线 应该 有 问题 ,消极,积极,-4.046,消极
轻薄 程度 很薄 ,消极,积极,2.461,积极
只能 说 备货 是 慢 了 到货 说好 xccnan ,消极,积极,0.862,积极
着 不错 轻便 噪音 不小 带 着 耳机 玩 能 接受 温度 高 玩 着 激战 游戏 屏幕 颜色 理想 粉色 饰品 看起来 发 粉蓝 颜色 可气 是 有 同款 本本 双 时候 便宜 了 心里 气 啊 双 时候 月份 买 啊 着急 干嘛 啊 气死 啦 ,积极,积极,1.339,积极
快递 包装 很 安全 拆机 开机 时候 屏幕 很大 很 清晰 很 壁纸 很 高清 会 有 眼前一亮 感觉 性能 说 超强 同价位 没有 牌子 能 做到 配置 游戏 测试 了 英雄 联盟 很 流畅 人 反应 散热 这点 要 着重 说 玩游戏 要 产生 热量 能 热量 拍 出来 影响 性能 好 散热 人会 玩 着 游戏 去 摸 散热 口 说 热 废话 能 热 吗 主要 办公 玩玩 lol 完全 没 问题 要 重度 游戏 用户 交易 买 游戏 笔记本 大型 游戏 适合 算是 工程师 系列 ps 托 无脑 米粉 ,消极,积极,20.799,积极
参加 工作 确实 需要 工作 忠实 米粉 立马 下单 是 下单 到 京东 快递 力 满意 地方 是 A 面 直板 设计 有 质感 系 处理器 是 小米 舔 狗 摊牌 了 ,消极,积极,17.192,积极
屏幕 效果 一般 有 漏光 散热 性能 可 接受 运行 速度 够用 好 外形 外观 时尚 喜欢 轻薄 程度 便携 出门 方便 ,积极,积极,18.416,积极
送货 超级 快 下单 到 是 女生 感觉 身边 大老爷们 骗 了 锐 龙 版 够 增强版 感觉 好 灰色 耐看 客服 在线 有 问题 问 能 解决 ,消极,消极,4.929,积极
十月份 买 了 简单 效果 大家 做 个 参考 是 数媒 专业 学生 一般 ps ai max 设计 软件 p 卡 cpu 满 功率 运行 后台 全部 关闭 还好 点 吧 没有 独显 好 价格便宜 真香 ,积极,积极,13.319,积极
运行 速度 好 屏幕 效果 不错 外形 外观 买 了 贴纸 很 好看 ,积极,积极,13.703,积极
美观大方 运行 速度 没得说 颜色 选错 了 耽误 事 ,积极,积极,1.276,积极
散热 性能 垃圾 到 爆炸 买来 学习 看 个 视频 风扇 声音 大 要死 没有 办法 专心 学习 屏幕 效果 显卡 垃圾 lol 完全 玩 不了 卡屏 分辨率 低 看不清楚 低 色域 总体 性价比 高 质量 懂得 此 用户 未填写 评价 内容 ,积极,积极,9.313,积极
轻薄 程度 很 轻薄 外形 外观 不错 运行 速度 有点 卡顿 总体 是 不错 散热 性能 有 声音 屏幕 效果 充完 电 拔掉 插头 没有 亮 了 上手 后续 会 关注 ,积极,积极,20.067,积极
朋友 说 想 买 电脑 帮 推荐 京东 买 电子产品 京东 物流 快 售后 退货 问题 帮 京东 买 了 取货 时候 可能 是 小哥 怕 是 代取 方式 验证 了 身份 负责 任 了 电脑 是 朋友 看 没有 买 过 小米 产品 很 清楚 是 京东 买 应该 差 不了 ,消极,消极,16.515,积极
外形 外观 国产 外观 越做越 好 了 喜欢 一体 金属 质感 轻薄 程度 算是 轻薄 了 ,积极,积极,22.58,积极
运行 速度 新 机器运行 顺畅 屏幕 效果 分辨率 不错 轻薄 程度 轻薄 有型 ,积极,积极,12.768,积极
精致 笔记本 很 人性化 配置 也好 性价比 高 外形 好看 超 喜欢 ,积极,积极,16.443,积极
运行 速度 速度 轻薄 程度 轻便 漂亮 容易 携带 外形 外观 简洁 大方 ,积极,积极,19.748,积极
运行 速度 没有 卡顿 屏幕 效果 显示 效果 一般般 吧 水平 散热 性能 散热 良好 玩游戏 不会 热 外形 外观 轻薄 有 颜值 好看 轻薄 程度 很 轻薄 特色 性价比 高 红米 笔记本 很 便宜 对比 品牌 配置 最起码 贵 了 小米 算是 大 品牌 售后 有 保障 游戏 太重 了 很厚 关键 丑 轻薄 方便 携带 金属 手感 很 舒服 续航 游戏 强 了 带 去 教室 不 需要 带 充电器 推荐 大家 购买 很 愉快 购物 物流 买 送达 ,消极,积极,49.713,积极
买 了 死机 蓝屏 倒 挺不错 ,消极,积极,-3.908,消极
运行 流畅 画面 清晰 卡顿 喜欢 ,积极,积极,4.942,积极
了 来 评价 电脑 不错 品牌 外观 好看 使用 小时 待机 品牌 英雄 联盟 直接 下载 直接 玩 不卡 温度 联想 笔记本 差不多 风扇 声音 表示 玩 英雄 联盟 听 不到 笔记本 运行 还好 屏幕 漏光 使用 时 是 看不到 漏光 影响 大 说 漏电 表示 感觉 不到 注意 笔记本 自带 小米 商城 下载 软件 会 卡机 死机 建议 直接 浏览器 下载 个 电脑 管家 到 电脑 管家 去 下载 软件 笔记本 久 了 电脑 发热 指纹识别 不了 电脑 发热 时候 指纹识别 没 问题 笔记本 声音 行 不要 开 大 声音 行 电脑 外观 不错 适合 学习 办公 游戏 华为 起来 有 键盘 灯 配置 虽 比不上 华为 笔记本 华为 配置 便宜 不错 点评 京东 京东 售后服务 差 是 个 大 问题 指纹 解锁 很 厉害 没有 手指头 能 打开 电脑 ,消极,积极,35.959,积极
运行 速度 运行 快 CPU 性能 高 羡慕 很 屏幕 效果 屏幕 效果 很 不错 感觉 看 大片 分辨率 高 清晰 看 电影 效果 不错 用来 学习 制图 好 电脑 外形 外观 外形 很酷 炫 很大 很 方便 携带 背 起 书包 去 图书馆 很 不错 轻薄 程度 很 轻薄 随时随地 学习 不用 担心 落后 了 表妹 买 表妹 很 喜欢 希望 学习 学业有成 少 看 电影 编程 ,消极,积极,41.83,积极
垃圾 硬盘 直接 测 通电 通电 时间 小时 累计 读写 稳定性 像 过山车 扫 个 全盘 垃圾 区块 了 ,消极,消极,-3.74,消极
运行 速度 挺快 屏幕 效果 好 喔 轻薄 程度 还行 吧 算轻 了 ,积极,积极,9.125,积极
了 验机 体验 不错 屏幕 质感 体验 舒适 外观 颜值 高 正好 手机 是 小米 选 了 性价比 高 适合 是 大 数据 专业 电脑 适合 带 指纹 解锁 很 方便 呢 出来 小 问题 如 图 还有 充电器 方便 带 ,积极,积极,27.072,积极
运行 速度 运行 很 流畅 g 内存 学习 足够 了 联盟 事儿 像 吃 鸡 想 了 买 最好 查查 笔记本 配置 够不够 玩 要 玩 所有 游戏 屏幕 效果 色域 低 了 看 东西 很 鲜艳 清晰度 差 外形 外观 颜色 讨喜 觉得 银色 轻浮 了 深灰色 正好 适合 整体 棱角 感 有点 刮手 了 散热 性能 相比 轻薄 算 不错 得 了 指望 高 可能 同 性能 游戏 特色 了 配送 时候 学校 人家 来 送 快递 时 整蒙 了 聚会 压根 抽 不了 身 脾气 老 冲 了 直接 说 送 院里 快递 完事 了 直接 挂 电话 话 了 结果 小时 人家 打电话 问 回 没 回来 明白 人家 搁 了 ,消极,消极,25.005,积极
代 i7 运行 速度 杠杠 内存 频率 不够 好 属于 一般 得 ddr4 内存 算不上 差 没 拆过 知道 拓展 性 屏幕 素质 一般 高色域 屏幕 高 刷新率 颜值 好 很 轻便 方便 出门 携带 键盘 手感 一般 没什么 惊喜 音响 声儿 大 音质 说 了 是 性价比 高 轻薄 显能 应付 一般 用途 游戏 不能 打算 买来 打游戏 不要 考虑 了 ,消极,积极,17.644,积极
送货 快 试用 了 运行 好 快 耶耶耶耶 便宜 ,积极,积极,9.325,积极
运行 速度 运行 散热 时候 声音 大 轻薄 程度 便于 携带 ,积极,积极,7.143,积极
外形 外观 不错 轻薄 程度 很 轻薄 ,积极,积极,11.949,积极
外观 好看 速度 有 问题 追加 ,积极,积极,2.956,积极
性价比 高 具体 配置 看 了 开机 中规中矩 小米 东西 手机 电视 空调 字 值 配置 品牌 小米 高出 去 毛病 没有 发现 办公 足矣 打算 玩游戏 联系 选择 游戏 ,积极,积极,0.505,积极
运行 速度 一般 主要 是 微软 系统 很 一般 ,积极,积极,2.419,积极
运行 速度 看起来 不错 配置 轻薄 程度 相比 苹果 有点 厚重 屏幕 效果 外形 外观 有型 ,积极,积极,15.862,积极
轻薄 程度 笔记本 确实 很 轻薄 合 起来 厚度 指节 不到 方便 携带 运行 速度 买 是 g pro 增强版 运行 速度 没有 尝试 游戏 买来 做 数据处理 试 了 完全 胜任 外形 外观 全身 深空 灰 金属 质感 手感 很 不错 边缘 棱角 清楚 很 喜欢 分明 感觉 散热 性能 全金属 网上 说 有 发烫 可能 使用 过程 没有 感觉 发烫 没 感觉 到 风扇 声音 ,消极,积极,25.842,积极
买来 开机 黑屏 看来 专业 靠 谱 啊 郁闷 不想 米粉 了 失望 失望 ,消极,积极,-10.7,消极
轻薄 程度 很轻 了 想象 轻 外形 外观 很 在意 室友 说 银色 要好看 屏幕 效果 屏幕 很大 好 吧 运行 速度 没 开始 很 清楚 ,积极,积极,15.024,积极
激活 很 方便 希望 好用 吧 买 小米 笔记本 失望 好 ,积极,积极,7.389,积极
很 喜欢 很 不错 会 购买 ,积极,积极,6.613,积极
运行 速度 开机 快 秒钟 轻薄 程度 小巧 不必要 买 Air 了 不错 屏幕 尺寸 正好 ,积极,积极,11.51,积极
入手 电脑 小白 电脑 很 不错 预期 想象 要 好 颜值 小巧 方便 携带 学习 动漫 设计 maya dmax flash 软件 着 还行 做做 题 渲染 还行 基本 挺不错 k 价格 性价比 高 了 基本 行 基本 还行 ,积极,积极,17.308,积极
运行 速度 价位 不错 屏幕 效果 价位 不错 散热 性能 开 大型 应用 不错 游戏 比如 暴雪 全家 桶 风扇 呼呼 外形 外观 外型 干净 B 面 塑料 影响 外观 易 划痕 如 指甲 破损 时 锐 处 请 小心 看护 键盘 键程 短 打字 讲究 手感 请 斟酌 感觉 不太好 时间 长 了 不适 会 感觉 敲击 失误 率 高 ,消极,积极,24.1,积极
电脑 速度 快 性能 好 价格 实惠 ,积极,积极,9.773,积极
运行 速度 速度 行 跑 分 屏幕 效果 屏幕 行 散热 性能 散热 很猛 风扇 声音 很大 轻薄 程度 轻 特色 小巧 ,积极,积极,9.095,积极
运行 速度 散热 性能 不怎么 热 轻薄 程度 很 轻薄 ,积极,积极,8.319,积极
运行 速度 不错 哟 屏幕 效果 屏幕 超大 超 喜欢 散热 性能 玩儿 游戏 感觉 散热 哟 外形 外观 大方 感觉 好看 轻薄 程度 屏幕 大 了 尺寸 电脑 要 重 丢 丢 感觉 女孩 接受 好看 ,积极,积极,21.509,积极
运行 速度 运行 速度 炒 鸡 流畅 好 很 喜欢 屏幕 效果 屏幕 艳丽 色彩 饱和度 完美 喜欢 散热 性能 玩 大型 游戏 基本上 不怎么 发烫 外形 外观 外观 很 好看 像 变形金刚 很 喜欢 很 喜欢 轻薄 程度 很 薄 很小 觉得 哦 特色 很 期待 做出 优质 产品 ,消极,积极,50.247,积极
方面 满意 总体 说来 不错 ,积极,积极,6.459,积极
开关机 超级 快 跑 分 反应 挺快 有 电 还有 jius 散热 口 知道 意思 ,积极,积极,-2.849,消极
好看 游戏 不能 玩 剑 玩 不了 拿来 办公 速度 超级 快 买 到 了 ,积极,积极,1.496,积极
轻薄 运行 速度 佷 快 屏幕 效果 好 散热 好 ,积极,积极,10.408,积极
新 玩具 了 外形 外观 超薄 超 舒服 银色 外观 适合 商务人士 使用 拿在手上 背 身上 不会 觉得 重 没有 LOGO 外 表面 很酷 轻薄 程度 字 舒服 屏幕 效果 屏幕 分辨率 很 高清 很 舒服 作为 商务 使用 完全 足够 了 ,积极,积极,25.424,积极
外形 外观 好看 轻薄 程度 小重 还好 ,积极,积极,7.068,积极
RedmiBook 英寸 全金属 超轻薄 英特尔 睿 i7 U G G SSD MX250 G 独显 Office 支持 手环 疾速 解锁 Win10 游戏 银 笔记本 小米 红米 高性能 独显 轻薄 英特尔 睿 性能 增强版 代酷 睿 处理器 独立 显卡 gforcemx250 强劲 散热 系统 增大 进风 面积 高效 降温 千克 青宝 金属 毫米 单手 便携 GB 内存 DDR4 mHz512 大容量 固态 硬盘 小时 长 续航 分钟 充电 英寸 全高清 防眩 光屏 毫米 超 窄 侧 边框 小米 智能 解锁 小米 手环 唤醒 预装 正版 office 家庭 学生 版 ,积极,积极,50.47,积极
此 用户 未填写 评价 内容 ,消极,积极,3.911,积极
说好 送 正版 office 不知 激活 查阅 网上 资料 激活 步骤 很 简单 是 激活 office2016 电脑 安装 是 office 激活 步骤 客服 网上 搞不懂 出 问题 了 整体 硬件 问题 很大 质感 不错 激活 office 恶心 wps 算了 此 用户 未填写 评价 内容 ,消极,消极,7.669,积极
电脑 不错 啊 外观 灰色 超 好看 轻薄 ,积极,积极,9.431,积极
拿到 手 感觉 很 惊艳 颜值 高 便携 轻巧 开机 快 使用方便 犹豫 了 买 了 性价比 高 玩 了 英雄 联盟 感觉 很 舒服 电风扇 声音 很小 屏幕显示 效果 好 电池 续航 感觉 是 可能 开始 没有 习惯 调校 好 就行了 说 缺点 吧 没有 摄像头 是 没想到 影响 价格 配置 总体 很 满意 ,消极,积极,18.183,积极
习惯 了用 XP 系统 开始菜单 按钮 win10 系统 开始菜单 方便 有 切换 温室 XP 菜单 按钮 觉得 方便 像 适合 XP 系统 人用 win10 可能 会 费劲 开始菜单 默认 菜单 按钮 改成 了 温七 用 起来 挺不错 分区 C盘 地盘 需要 分区 介绍 详细 有 教 分区 ,消极,消极,0.046,积极
评价 有点 晚 了 电脑 着 不错 性价比 高 ,积极,积极,3.776,积极
客服 很棒 壁纸 自动 更换 结束 了 频率 跟换 锁定 了 壁纸 问 了 客服 有 耐心 回答 问题 赞 上手 后续 会 追评 ,消极,消极,10.179,积极
运行 速度 速度 超快 屏幕 效果 清晰 刺眼 散热 性能 良好 外形 外观 惊艳 轻薄 程度 很 轻巧 ,积极,积极,15.631,积极
妹妹 买 电脑 办 办公 看看 电视 打游戏 电脑配置 没有 高 要求 看 了 选 了 选完 发现 是 爆款 呢 平台 价格 plus 领 了 券 到货 很薄 很轻 携带方便 运行 毛病 ,积极,积极,13.149,积极
电脑 不错 运输 差 外包装 表面 破损 严重 直接 拒收 外包装 破损 要 送 人 时间 来不及 只能 接收 京东 自营 商品 质控 实在 失望 plus 会员 想 应该 不会 了 ,消极,消极,3.816,积极
宝贝 收到 了 好 不错 hellip hellip ,积极,积极,18.609,积极
电脑 很 一般 屏幕 做工 差 脱胶 感觉 ,积极,积极,-1.537,消极
运行 速度 运行 速度 很 不错 开机 是 秒钟 外形 外观 外形 好看 轻薄 程度 轻便 特色 办公 是 绰绰有余 了 睿 I5 处理器 g 内存 自带 系统 呀 还有 office 是 不错 有 不太好 设计 轻薄 不能 没有 摄像头 吧 社交 方面 是 有 诸多不便 还有 兼容 杀毒软件 安装 了 会 出现 幅照片 情况 卸载 恢复正常 了 整体 很 不错 ,消极,积极,27.909,积极
运行 速度 快 外形 外观 颜值 高 一体 模具 轻薄 程度 轻 想象 轻 散热 性能 一般 特色 颜色 好看 金属外壳 有点 凉手 屏幕 效果 好 窄 框 屏幕 占 比高 ,积极,积极,21.197,积极
运行 速度 i5 速度 不错 屏幕 效果 清晰 无 白点 瑕疵 散热 性能 浏览 网页 办公 不热 玩游戏 会 发热 外形 外观 精致 美观 轻薄 程度 很 满意 特色 整体 算 满意 鲁 大师 跑 分 开机 秒左右 ,积极,积极,29.251,积极
运行 速度 很 流畅 很 流畅 手上 ti 革命 流畅 了 散热 性能 出 风 不能 错 性能 模式 听到 声音 风 声音 风扇 外形 外观 简洁 大方 全金属 轻薄 程度 轻单 手持 握 无 压力 屏幕 效果 水平 特色 娱乐 大师 本子 分 性价比 高 ,积极,积极,33.571,积极
运行 速度 行 价钱 蛮好 屏幕 效果 想象 大 散热 性能 一般 外形 外观 流线型 设计 很 不错 轻薄 程度 有 厚 特色 买 电脑 纯属 同类 价格 小米 便宜 电脑 要换 入手 小米 不错 了 戴尔 贵 性能 差不多 ,积极,积极,30.224,积极
运行 速度 快 屏幕 效果 好 散热 性能 好 外形 外观 喜欢 轻薄 程度 ,积极,积极,16.83,积极
外形 外观 好 轻薄 程度 好 散热 性能 好 屏幕 效果 好 ,积极,积极,17.319,积极
运行 速度 挺快 屏幕 效果 苹果 不相上下 了 散热 性能 风扇 噪音 大 外形 外观 灰色 好 喜欢 粉色 没货 了 特色 电池 差 了 ,积极,积极,16.508,积极
屏幕 效果 辨率 高 屏幕 清晰 细腻 色彩艳丽 散热 性能 风扇 声音 小 笔记本 散热 效果 好 用做 PS 做 M 大图 电脑 没 明显 发热 运行 速度 开机 速度 超级 快 基本 开 i7 处理器 独立 显卡 版本 用来 做 PS 轻松 应付 外形 外观 外观 优美 大方 银色 主色 百看不厌 做工 精湛 轻薄 程度 重量 轻薄 还好 ,消极,积极,52.172,积极
不间断 发出 齿轮 转动 声音 声音 很大 视频 声音 现实 声音 大 体验 差差 差差 差 有 缺陷 建议 换 华为 吧 运行 速度 快 散热 性能 差 轻薄 程度 太重 ,积极,积极,-0.001,消极
运行 速度 运行 屏幕 效果 屏幕 使用 起来 不大不小 伤眼 散热 性能 散热 性 好 不发 汤 外形 外观 外观 简单 时尚 轻薄 程度 轻薄 特色 买 小米 产品 质量 杠杠 ,积极,积极,30.4,积极
运行 速度 运行 速度 感觉 不错 工作 够快 了 屏幕 效果 不错 色彩 很棒 工作 没什么 问题 散热 性能 风声 有点 大 很大 很大 散热 不错 外形 外观 总体 感觉 不错 手感 还过得去 整体 看起来 有点 廉价 轻薄 程度 不厚 不算 重 感觉 还好 吧 特色 够用 看看 文件 够 了 好 红米 感觉 不错 下载 设计 软件 感觉 不卡 ,消极,积极,34.193,积极
质量 买 了 天 开 不了 机 了 ,消极,消极,0.514,积极
外观 挺不错 开始 有 噪音 散热 噪音 大 了 吧 了 ,积极,积极,0.782,积极
性价比 很高 笔记本 大厂 有点 差距 总体 满意 ,积极,积极,7.24,积极
不错 物有所值 ,积极,积极,2.651,积极
运行 速度 屏幕 效果 好 散热 性能 好 散热 好 外形 外观 赞 轻薄 程度 较薄 ,积极,积极,19.411,积极
国际友人 买 应该 很 不错 平台 不卖 ,积极,积极,5.224,积极
屏幕 效果 没有 想象 差 没有 很 出色 散热 性能 一般 运行 速度 不错 满足 办公 需求 外形 外观 好看 轻薄 程度 很 薄 特色 性价比 高 ,积极,积极,25.921,积极
小米 性价比 不用 赘述 了 是 良心 价格 犹豫 价格 合不 合适 朋友 不用 犹豫 了 下手 吧 性能 机子 配置 算是 主流 配置 是 普通 办公 office 是 完美 运行 值得称赞 是 外观设计 是 市面上 机子 亮眼 颜值 超高 屏幕显示 效果 键盘 是 很好 有点 苹果电脑 风格 ,积极,积极,18.224,积极
很 垃圾 系统 提示 重启 卡 画面 操作 指令 没 反应 电耗 完能 保持 电耗 完 插 电 开机 是 画面 ,消极,积极,-8.172,消极
朋友 推荐 买 说 笔记本电脑 方面 不错 不会 买来 感觉 确实 不错 很 高档 卡 做工 不错 学生 用来 办公 写 文案 刷 电视剧 刷 电影 足够 了 键盘 打字 舒服 想象 差不多 有点 超乎 想象 好 买 犹豫 拿到 手 感觉 了 感觉 不错 很 喜欢 推荐 学生 党 买 ,消极,积极,28.036,积极
说 句 良心话 电脑 不错 没有 卡过 发烫 严重 拿 荣耀 了 觉得 性价比 高 买 犹豫 没有 鼠标 开机 速度 快 没有 遇见 蓝屏 黑屏 情况 言 好 等用 评价 运行 速度 个人 觉得 ,积极,积极,0.5,积极
收到 体验 有 开机 高热 风扇 高 转 好 莫名其妙 ,积极,积极,3.021,积极
买 降价 金属外壳 容易 刮 开机 风扇 会 呼呼 响 尴尬 响 分钟 平静 了 运行 速度 算 快 说 呢 有 瑕疵 好 想 打 变成 五星 hellip hellip ,积极,积极,4.901,积极
